category,failure_type,count,pct
cryptarithm,mapping_conflict,PLACEHOLDER,ESTIMATED_28.5
cryptarithm,carry_error,PLACEHOLDER,ESTIMATED_22.1
cryptarithm,incomplete_search,PLACEHOLDER,ESTIMATED_16.4
cryptarithm,leading_zero_error,PLACEHOLDER,ESTIMATED_12.3
cryptarithm,final_parse_error,PLACEHOLDER,ESTIMATED_9.8
cryptarithm,answer_format_error,PLACEHOLDER,ESTIMATED_4.2
cryptarithm,hallucinated_rule,PLACEHOLDER,ESTIMATED_3.9
cryptarithm,arithmetic_error,PLACEHOLDER,ESTIMATED_2.1
cryptarithm,constraint_missed,PLACEHOLDER,ESTIMATED_0.7
cryptarithm,unknown,PLACEHOLDER,ESTIMATED_0.0
bit_manipulation,xor_error,PLACEHOLDER,ESTIMATED_31.2
bit_manipulation,shift_error,PLACEHOLDER,ESTIMATED_21.8
bit_manipulation,base_conversion_error,PLACEHOLDER,ESTIMATED_18.5
bit_manipulation,signed_unsigned_error,PLACEHOLDER,ESTIMATED_12.4
bit_manipulation,answer_format_error,PLACEHOLDER,ESTIMATED_6.9
bit_manipulation,and_error,PLACEHOLDER,ESTIMATED_4.1
bit_manipulation,or_error,PLACEHOLDER,ESTIMATED_3.2
bit_manipulation,arithmetic_error,PLACEHOLDER,ESTIMATED_1.9
bit_manipulation,final_parse_error,PLACEHOLDER,ESTIMATED_0.0
bit_manipulation,mask_error,PLACEHOLDER,ESTIMATED_0.0
bit_manipulation,unknown,PLACEHOLDER,ESTIMATED_0.0
numeral_conversion,binary_decimal_error,PLACEHOLDER,ESTIMATED_33.8
numeral_conversion,hex_decimal_error,PLACEHOLDER,ESTIMATED_24.6
numeral_conversion,base_n_place_value_error,PLACEHOLDER,ESTIMATED_18.5
numeral_conversion,decimal_binary_error,PLACEHOLDER,ESTIMATED_11.7
numeral_conversion,digit_order_error,PLACEHOLDER,ESTIMATED_6.2
numeral_conversion,answer_format_error,PLACEHOLDER,ESTIMATED_3.1
numeral_conversion,decimal_hex_error,PLACEHOLDER,ESTIMATED_2.1
numeral_conversion,roman_numeral_error,PLACEHOLDER,ESTIMATED_0.0
numeral_conversion,final_parse_error,PLACEHOLDER,ESTIMATED_0.0
numeral_conversion,unknown,PLACEHOLDER,ESTIMATED_0.0
